#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
d1atia2d.104.1.1     -            394 d12asa_d.104.1.1.aln -            319  3.8e-144  475.5   7.3   1   1  7.6e-146  4.3e-144  475.3   7.3     1   319     1   381     1   381 0.99 -
d1b8aa2d.104.1.1     -            335 d12asa_d.104.1.1.aln -            319   1.4e-82  273.2   8.2   1   1     3e-84   1.7e-82  273.0   8.2     6   319     6   334     2   334 0.98 -
d1h4vb2d.104.1.1     -            324 d12asa_d.104.1.1.aln -            319   3.9e-57  189.6   8.3   1   1   7.8e-59   4.4e-57  189.5   8.3     2   318     3   322     2   323 0.97 -
d1wu7a2d.104.1.1     -            327 d12asa_d.104.1.1.aln -            319   5.6e-55  182.5   0.2   1   1   1.1e-56   6.2e-55  182.4   0.2     2   317     5   325     4   327 0.99 -
d1g5ha2d.104.1.1     -            290 d12asa_d.104.1.1.aln -            319   8.5e-55  181.9   0.0   1   1   1.8e-56     1e-54  181.7   0.0     6   315     1   289     1   290 0.98 -
d1z7ma1d.104.1.1     -            318 d12asa_d.104.1.1.aln -            319   2.3e-50  167.4   0.1   1   1   4.4e-52   2.5e-50  167.3   0.1     4   313     4   316     1   318 0.96 -
d1qf6a4d.104.1.1     -            291 d12asa_d.104.1.1.aln -            319   2.3e-48  160.8   0.3   1   1   4.6e-50   2.6e-48  160.6   0.3     5   318     1   284     1   285 0.97 -
d1hc7a2d.104.1.1     -            272 d12asa_d.104.1.1.aln -            319   1.1e-44  148.7   4.5   1   1   2.2e-46   1.2e-44  148.6   4.5     2   295     8   270     7   272 0.97 -
d1nnha_d.104.1.1     -            293 d12asa_d.104.1.1.aln -            319   4.3e-43  143.5   4.0   1   1   8.5e-45   4.8e-43  143.3   4.0    17   317     4   289     1   291 0.97 -
d1j5wa_d.104.1.1     -            281 d12asa_d.104.1.1.aln -            319   1.9e-32  108.5   2.5   1   1   3.7e-34   2.1e-32  108.4   2.5     7   314     3   281     1   281 0.97 -
d1seta2d.104.1.1     -            311 d12asa_d.104.1.1.aln -            319   2.7e-31  104.7   3.5   1   1   5.6e-33   3.1e-31  104.5   3.5    10   319    11   310     3   310 0.97 -
d1yfsa2d.104.1.1     -            236 d12asa_d.104.1.1.aln -            319   4.5e-28   94.1   0.6   1   1   9.4e-30   5.3e-28   93.9   0.6    39   304     5   234     2   236 0.97 -
d1usya_d.104.1.1     -            275 d12asa_d.104.1.1.aln -            319   6.8e-27   90.3   0.0   1   1   1.3e-28   7.4e-27   90.1   0.0     7   296     2   269     1   275 0.97 -
d1jjcb5d.104.1.1     -            207 d12asa_d.104.1.1.aln -            319   3.4e-14   48.5   3.4   1   1     7e-16     4e-14   48.3   3.4    26   247     5   193     1   205 0.90 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      hmmModels95/d12asa_d.104.1.1.hmm
# Target file:     scop/scopTestSeq.fasta
# Option settings: hmmsearch --domtblout hmmModels95/d12asa_d.104.1.1.out -E 1 hmmModels95/d12asa_d.104.1.1.hmm scop/scopTestSeq.fasta 
# Current dir:     /users/nfs/Etu7/3801677/SBAS/TME8
# Date:            Tue Apr  4 15:53:33 2023
# [ok]
#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
d1fsga_c.61.1.1      -            233 d1a3ca_c.61.1.1.aln  -            207   2.3e-74  244.8   0.1   1   1   4.8e-76   2.7e-74  244.6   0.1     2   207    35   231    34   231 0.99 -
d1tc1a_c.61.1.1      -            184 d1a3ca_c.61.1.1.aln  -            207   2.7e-56  185.8   1.0   1   1   5.3e-58     3e-56  185.7   1.0     8   201     1   183     1   184 0.99 -
